Arabic_Saudi_Sentence,English_Terms,Word_Frequency
أختي رايحة KAFD كل نهاية أسبوع مع صديقاتها، صارت شبه روتين ثابت عندها.,KAFD,KAFD(3)
حضرت workshop مع فريق التسويق وطلعت بأفكار زينة، بنشتغل عليها الأسبوع الجاي.,workshop,workshop(5)
صاحبي رشح لي blockbuster وقالي ما بتندم أبدًا، وفعلاً كان محق في كلامه.,blockbuster,blockbuster(5)
احنا رحنا Jax District عشان نتفرج على السينما الجديدة هناك، وطلعت التجربة أحسن من المتوقع.,Jax District,"Jax(2), District(2)"
كل صباح أسوي swimming قبل ما أروح الشغل، عشان أبدأ يومي بطاقة ونشاط.,swimming,swimming(2)
أول مرة أزور Red Sea Mall وكان أكبر مما توقعت بكثير، لدرجة إني تهت وأنا أدور المخرج.,Red Sea Mall,"Red(2), Sea(2), Mall(4)"
احنا سوينا spin class مع بعض عشان نحمس بعض، وضحكنا كثير من كثر التعب.,spin class,"spin(2), class(2)"
احتفلنا بتخرجها في مطعم وسط KAFD ، وكانت الأمسية من أحلى الليالي هالسنة.,KAFD,KAFD(4)
أهدوني شنطة Chanel في تخرجي وكانت هدية فخمة، ما توقعت حد يهديني شي بهالمستوى.,Chanel,Chanel(2)
بين rom-com و playlist ما قدرت أقرر وش أسوي الليلة، فخليت صاحبي يختار عني.,"rom-com, playlist","rom-com(4), playlist(3)"
حضرت appraisal في فندق فخم استمر يومين كاملين، وتعرفت على ناس كثير من نفس المجال.,appraisal,appraisal(5)
الشباب راحوا Hub يتفرجون على الفعاليات الجديدة اللي أعلنوا عنها من أسبوع.,Hub,Hub(3)
وقفت السيارة عند T5 ومشيت للمكتب على طول، لأن كل الموقف القريب كان مليان.,T5,T5(3)
احنا سوينا استراحة قصيرة وطلعنا نتغدى في Ole ، وقعدنا نضحك على مواقف الأسبوع.,Ole,Ole(1)
الشباب طلبوا ice cream sundae وكل واحد أخذ نصيبه بسرعة قبل لا يبرد ويفقد طعمه.,ice cream sundae,"ice(4), cream(4), sundae(4)"
بعد سنة كاملة حصلت على raise في الشغل، وحسيت إن التعب أخيرًا طلع نتيجة.,raise,raise(1)
في تخرجي طلبت tiramisu وكيكة من نفس المطعم لأنهم أفضل مكان جربته بصراحة.,tiramisu,tiramisu(3)
الشباب راحوا Downtown يتفرجون على الفعاليات الجديدة اللي أعلنوا عنها من أسبوع.,Downtown,Downtown(3)
جربت milkshake في رحلتي الأخيرة وحبيته كثير، لدرجة إني دورت عليه لما رجعت البلد.,milkshake,milkshake(2)
لازم أوصل A7 قبل التاسعة عشان ألقى موقف فاضي، وإلا بدور نص ساعة أدور مكان.,A7,A7(3)
أمس طلبت affogato من المطعم اللي جنب البيت وكان لذيذ مرة، حتى إني رجعت أطلبه اليوم كمان.,affogato,affogato(3)
زاحمت على cable machine لأن الجيم كان مزدحم مرة، واضطريت أنتظر ربع ساعة قبل دوري.,cable machine,"cable(3), machine(3)"
أمس طلبت hotdog من المطعم اللي جنب البيت وكان لذيذ مرة، حتى إني رجعت أطلبه اليوم كمان.,hotdog,hotdog(2)
المدرب زاد لي عدد tricep extensions هالأسبوع، وحسيت بتحدي واضح من أول حصة.,tricep extensions,"tricep(5), extensions(5)"
الـ KPI تبعي تحسنت كثير بعد التدريب الأخير، وصارت نتائجي أوضح للإدارة.,KPI,KPI(3)
جربت mocha في رحلتي الأخيرة وحبيته كثير، لدرجة إني دورت عليه لما رجعت البلد.,mocha,mocha(1)
سويت cardio اليوم وحسيت بتعب واضح، بس النتيجة كانت تستاهل التعب.,cardio,cardio(1)
أمس طلبت americano من المطعم اللي جنب البيت وكان لذيذ مرة، حتى إني رجعت أطلبه اليوم كمان.,americano,americano(1)
حضرت interview مع فريق التسويق وطلعت بأفكار زينة، بنشتغل عليها الأسبوع الجاي.,interview,interview(3)
الشباب كلهم يحكون عن Shahid VIP هالأيام، وصار حديث كل تجمع نقعده.,Shahid VIP,"Shahid(2), VIP(2)"
زميلي قالي نتقابل عند A3 الساعة عشرة بالضبط، عشان نروح سوا للاجتماع الكبير.,A3,A3(4)
اشتريت تيشيرتين من Victoria's Secret بعد التخفيضات الأخيرة، وطلعوا أحسن مما توقعت بصراحة.,Victoria's Secret,"Victoria's(2), Secret(2)"
طلبت قهوة من Sudra Tea وقعدت أراجع الإيميلات المتأخرة، لين ما خلصت كل شي كان متراكم.,Sudra Tea,"Sudra(4), Tea(4)"
رحت Solitaire الصبح و Elements العصر، يوم تسوق كامل خلاني أتعب بس استمتعت فيه.,"Solitaire, Elements","Solitaire(3), Elements(4)"
الإدارة قلصت budget المشروع هالربع بسبب الظروف، فاضطرينا نعيد ترتيب الأولويات.,budget,budget(3)
احنا سوينا استراحة قصيرة وطلعنا نتغدى في Chok ، وقعدنا نضحك على مواقف الأسبوع.,Chok,Chok(2)
الاجتماع اليوم صار في T7 مو في المبنى المعتاد، وتفاجأت لما وصلت المكان الجديد.,T7,T7(4)
احنا سوينا burpees مع بعض عشان نحمس بعض، وضحكنا كثير من كثر التعب.,burpees,burpees(3)
بديت بـ swimming وبعدين حولت لـ running لأنه أخف على جسمي، ولاحظت فرق واضح بالراحة.,"swimming, running","swimming(3), running(3)"
في تخرجي طلبت chai latte وكيكة من نفس المطعم لأنهم أفضل مكان جربته بصراحة.,chai latte,"chai(3), latte(4)"
كل ما أروح ذاك الكافيه أطلب cold brew لأنه مميز عندهم ومختلف عن أي مكان ثاني.,cold brew,"cold(2), brew(2)"
حضرت training في فندق فخم استمر يومين كاملين، وتعرفت على ناس كثير من نفس المجال.,training,training(4)
شاركت في بطولة badminton وطلعت من الأدوار الأولى، بس استفدت خبرة تفيدني قدام.,badminton,badminton(4)
اشتريت تيشيرتين من Zara بعد التخفيضات الأخيرة، وطلعوا أحسن مما توقعت بصراحة.,Zara,Zara(4)
جربت مكياج MAC الجديد وعجبني لونه كثير، وصار من الأشياء الثابتة في شنطتي.,MAC,MAC(1)
زوجي اشترى سيارة Toyota وقاعد يفتخر فيها قدام الكل، ويغسلها بنفسه كل أسبوع.,Toyota,Toyota(1)
احنا كوّنا فريق table tennis في الشغل عشان نتحدى فريق ثاني، وصار جو المنافسة يحمسنا كل أسبوع.,table tennis,"table(1), tennis(2)"
المدربة نصحتني أزيد leg press تدريجيًا كل أسبوع، عشان ما أتعرض لإصابة مفاجئة.,leg press,"leg(1), press(4)"
زملائي حجزوا طاولة في مطعم داخل Hub للعشاء، وقعدنا نتكلم عن الشغل لين وقت متأخر.,Hub,Hub(4)
احنا قعدنا نتفرج HBO كامل بليلة وحدة، وما حسينا بالوقت وهو يمر.,HBO,HBO(3)
خلصت lat pulldown وقعدت أستريح خمس دقايق بس، لأن التمرين كان مكثف أكثر من المعتاد.,lat pulldown,"lat(4), pulldown(4)"
أثثنا الصالة كلها من IKEA الأسبوع اللي فات، والنتيجة طلعت أحلى مما تخيلنا.,IKEA,IKEA(2)
احتفلنا بتخرجها في مطعم وسط Uptown ، وكانت الأمسية من أحلى الليالي هالسنة.,Uptown,Uptown(4)
الشباب راحوا Uptown يتفرجون على الفعاليات الجديدة اللي أعلنوا عنها من أسبوع.,Uptown,Uptown(5)
المطعم الجديد يقدم caesar salad بطريقة مختلفة عن اللي نعرفه، وصراحة الفكرة عجبتني كثير.,caesar salad,"caesar(1), salad(2)"
أختي ما تلبس إلا Victoria's Secret في كل مناسباتها، وتقول إن القصات تناسبها أكثر من أي ماركة ثانية.,Victoria's Secret,"Victoria's(3), Secret(3)"
أهدوني شنطة Gucci في تخرجي وكانت هدية فخمة، ما توقعت حد يهديني شي بهالمستوى.,Gucci,Gucci(2)
كان عندي meeting وبعده على طول teamwork ، يوم مرهق ما توقعت أخلصه بهالسرعة.,"meeting, teamwork","meeting(3), teamwork(2)"
خلصت resignation قبل ما أبدأ feedback المهم، وحسيت إني أنجزت يوم كامل بمعنى الكلمة.,"resignation, feedback","resignation(3), feedback(2)"
تجربة Oscar كانت مختلفة عن اللي توقعتها، وخلتني أشوف الأفلام بطريقة ثانية.,Oscar,Oscar(2)
شفت صورة mac&cheese على السوشيال ميديا واشتهيته على طول، فطلبته بنفس الليلة.,mac&cheese,mac&cheese(2)
زميلي أخذ promotion بعد سنتين شغل مجتهد، واستاهلها بجدارة على رأي الكل.,promotion,promotion(3)
احنا سوينا استراحة قصيرة وطلعنا نتغدى في City Fresh Kitchen ، وقعدنا نضحك على مواقف الأسبوع.,City Fresh Kitchen,"City(1), Fresh(1), Kitchen(1)"
احنا سوينا cardio مع بعض عشان نحمس بعض، وضحكنا كثير من كثر التعب.,cardio,cardio(2)
نزلت sequel على جوالي عشان أتابعه بره البيت، ولقيته أحسن بكثير من اللي توقعته.,sequel,sequel(1)
زوجي اشترى سيارة Tesla وقاعد يفتخر فيها قدام الكل، ويغسلها بنفسه كل أسبوع.,Tesla,Tesla(2)
بعد الدوام مع صاحبي طلبنا tiramisu وقعدنا نتكلم لين المغرب وما حسينا بالوقت أبدًا.,tiramisu,tiramisu(4)
المدرب علمنا حركات جديدة في marathon اليوم، وحسيت إني تحسنت كثير عن الحصة اللي فاتت.,marathon,marathon(3)
عندي conference الساعة عشرة الصبح ولازم أجهز له من الحين، عشان أطلع بأحسن صورة قدامهم.,conference,conference(3)
احنا وصاحباتي طلبنا waffle وقعدنا نتصور له قبل ما ناكل عشان نحفظ الذكرى.,waffle,waffle(2)
احنا سوينا استراحة قصيرة وطلعنا نتغدى في Kart N Go ، وقعدنا نضحك على مواقف الأسبوع.,Kart N Go,"Kart(1), N(1), Go(1)"
شفت زميلتي عند Kart N Go وسلمت عليها بسرعة وأنا رايح، لأنه ما كان عندي وقت أقعد أسولف.,Kart N Go,"Kart(2), N(2), Go(2)"
الشباب راحوا Kingdom Centre يتفرجون على الفعاليات الجديدة اللي أعلنوا عنها من أسبوع.,Kingdom Centre,"Kingdom(4), Centre(4)"
شاركت في تحدي judo مع أصحابي هالشهر، وكنا نتنافس على مين يلتزم أكثر.,judo,judo(3)
بعد الدوام مع صاحبي طلبنا mac&cheese وقعدنا نتكلم لين المغرب وما حسينا بالوقت أبدًا.,mac&cheese,mac&cheese(3)
قارنا بين محلات The Zone و Solitaire قبل ما نقرر وين نشتري، وأخيرًا اخترنا الأقرب لنا.,"The Zone, Solitaire","The(3), Zone(3), Solitaire(4)"
بدأت أتمرن judo عشان أرفع لياقتي البدنية، ولاحظت فرق واضح بعد شهر بس.,judo,judo(4)
الشباب كلهم يحكون عن rom-com هالأيام، وصار حديث كل تجمع نقعده.,rom-com,rom-com(5)
الشباب كلهم يحكون عن documentary هالأيام، وصار حديث كل تجمع نقعده.,documentary,documentary(3)
بعد الشغل رحت Jax District أمشي شوي وأصفي ذهني، لأن يومي كان طويل ومتعب.,Jax District,"Jax(3), District(3)"
ما قدرت أختار بين pasta و hummus wrap فطلبت الاثنين، وطلع القرار صح لأني حبيت الكل.,"pasta, hummus wrap","pasta(3), hummus(1), wrap(1)"
حضرت interview في فندق فخم استمر يومين كاملين، وتعرفت على ناس كثير من نفس المجال.,interview,interview(4)
الشباب كلهم يحكون عن Marvel هالأيام، وصار حديث كل تجمع نقعده.,Marvel,Marvel(5)
لعبنا tennis مساء أمس واستمتعنا مرة، وقررنا نصير نلعبه كل أسبوع من الحين.,tennis,tennis(3)
انصدمت من plot twist في الفيلم ولا توقعته أبدًا، وقعدت أتكلم عنه مع أصحابي كل الأسبوع.,plot twist,"plot(1), twist(1)"
جربت tiramisu في رحلتي الأخيرة وحبيته كثير، لدرجة إني دورت عليه لما رجعت البلد.,tiramisu,tiramisu(5)
أختي رايحة Boulevard World كل نهاية أسبوع مع صديقاتها، صارت شبه روتين ثابت عندها.,Boulevard World,"Boulevard(3), World(3)"
أخوي حضر fish&chips بنفسه في البيت وقالي طلعت زينة رغم إنها أول مرة يجربها.,fish&chips,fish&chips(2)
سجلت في دوري football مع فريق الحي، وبديت أتمرن بجدية أكثر من قبل.,football,football(2)
بديت حصتي بـ reps عشان أسخن جسمي، قبل ما أنتقل للتمارين الأساسية.,reps,reps(3)
زميلي مكتبه في Lagate وأنا في City Fresh Kitchen ، فنتقابل بس وقت الغدا لأن المسافة بينا بعيدة شوي.,"Lagate, City Fresh Kitchen","Lagate(2), City(2), Fresh(2), Kitchen(2)"
صاحبي علمني bicep curls بطريقة صحيحة تحمي الظهر، وصرت أطبقها في كل حصة.,bicep curls,"bicep(3), curls(3)"
احنا وصاحباتي طلبنا bagel وقعدنا نتصور له قبل ما ناكل عشان نحفظ الذكرى.,bagel,bagel(3)
ما توقعت إن premiere بيعجبني كذا لين جربته، والحين صار من المفضلة عندي.,premiere,premiere(5)
رحت من A4 إلى Lagate مشي عشان أوصل الاجتماع بسرعة، ووصلت بالكاد قبل ما يبدأ.,"A4, Lagate","A4(2), Lagate(3)"
وقفت السيارة عند A3 ومشيت للمكتب على طول، لأن كل الموقف القريب كان مليان.,A3,A3(5)
زوجي اشترى سيارة BMW وقاعد يفتخر فيها قدام الكل، ويغسلها بنفسه كل أسبوع.,BMW,BMW(3)
احنا رحنا Hub عشان نتفرج على السينما الجديدة هناك، وطلعت التجربة أحسن من المتوقع.,Hub,Hub(5)
عندي قطعة من Puma بس أفكر أبدلها بواحدة من Crocs هالسنة، عشان أجرب شي مختلف شوي.,"Puma, Crocs","Puma(1), Crocs(2)"
شفت زميلتي عند 66 Cups وسلمت عليها بسرعة وأنا رايح، لأنه ما كان عندي وقت أقعد أسولف.,66 Cups,"66(4), Cups(4)"
أمي سوت apple pie على طريقتها الخاصة وصار ألذ من أي مطعم مشهور جربناه من قبل.,apple pie,"apple(1), pie(1)"
المدير مو راضي عن الـ invoice ولازم نعيده من جديد، رغم إني اشتغلت عليه ساعات طويلة.,invoice,invoice(3)
أخوي محترف في cycling ويتمرن عليه كل يوم تقريبًا، وحصل على ميداليات كثيرة بسببه.,cycling,cycling(2)
المطعم الجديد يقدم waffle بطريقة مختلفة عن اللي نعرفه، وصراحة الفكرة عجبتني كثير.,waffle,waffle(3)
دخلت من T7 لأنه أقرب بوابة للموقف اليوم، وكسبت وقت كنت محتاجه للاجتماع.,T7,T7(5)
شفت زميلتي عند Five Elephants وسلمت عليها بسرعة وأنا رايح، لأنه ما كان عندي وقت أقعد أسولف.,Five Elephants,"Five(2), Elephants(2)"
رحت من Lagate إلى A6 مشي عشان أوصل الاجتماع بسرعة، ووصلت بالكاد قبل ما يبدأ.,"Lagate, A6","Lagate(4), A6(3)"
أول مرة أزور The Zone وكان أكبر مما توقعت بكثير، لدرجة إني تهت وأنا أدور المخرج.,The Zone,"The(4), Zone(4)"
أخوي مهووس بألعاب LEGO يسهر عليها لين الفجر، وما يوقف إلا لما يتعب فعلًا.,LEGO,LEGO(2)
عندي قطعة من Nissan بس أفكر أبدلها بواحدة من Mercedes هالسنة، عشان أجرب شي مختلف شوي.,"Nissan, Mercedes","Nissan(2), Mercedes(3)"
صاحبي مهووس بسيارات Nissan ما يشتري غيرها أبدًا، ويتابع كل إصدار جديد يطلعونه.,Nissan,Nissan(3)
بعد الشغل رحت Solitaire أمشي شوي وأصفي ذهني، لأن يومي كان طويل ومتعب.,Solitaire,Solitaire(5)
عندي interview الساعة عشرة الصبح ولازم أجهز له من الحين، عشان أطلع بأحسن صورة قدامهم.,interview,interview(5)
قرأت عن Oscar في مقال ونال اهتمامي كثير، فبديت أدور معلومات أكثر عنه.,Oscar,Oscar(3)
بعد الشغل رحت Granada أمشي شوي وأصفي ذهني، لأن يومي كان طويل ومتعب.,Granada,Granada(4)
جربت affogato في رحلتي الأخيرة وحبيته كثير، لدرجة إني دورت عليه لما رجعت البلد.,affogato,affogato(4)
أختي معجبة بـ season finale وتتابعه أول بأول، وتحاول ما تفوت ولا حلقة.,season finale,"season(4), finale(4)"
أختي معجبة بـ documentary وتتابعه أول بأول، وتحاول ما تفوت ولا حلقة.,documentary,documentary(4)
سويت HIIT و bicep curls في نفس الجلسة، تعبت مرة بس حسيت بإنجاز حقيقي.,"HIIT, bicep curls","HIIT(2), bicep(4), curls(4)"
رحنا Avenues عشان نتمشى ونشوف العروض الجديدة، وقعدنا هناك لين وقت متأخر من الليل.,Avenues,Avenues(5)
بعد الدوام رحت Sudra Tea آخذ شي حلو قبل لا أرجع البيت، عشان أكافئ نفسي على يوم طويل.,Sudra Tea,"Sudra(5), Tea(5)"
المدير مو راضي عن الـ email ولازم نعيده من جديد، رغم إني اشتغلت عليه ساعات طويلة.,email,email(3)
قدمت على full-time جديدة وأنتظر الرد من الشركة، وقلبي معلق لين يوصلني الإيميل.,full-time,full-time(2)
زميلي يشجعني ألعب table tennis معاه كل خميس، وصارت من أحلى مواعيدي الأسبوعية.,table tennis,"table(2), tennis(4)"
قابلت صاحباتي في Mall of Arabia وقعدنا نتسوق لين الليل، وكانت جلسة حلوة بعد فترة ما شفناهم.,Mall of Arabia,"Mall(5), of(3), Arabia(3)"
قعدت الليلة أتفرج على trailer لين تعبت عيني، بس ما قدرت أوقف لأنه كان مشوق مرة.,trailer,trailer(3)
المدرب علمنا حركات جديدة في cycling اليوم، وحسيت إني تحسنت كثير عن الحصة اللي فاتت.,cycling,cycling(3)
كل صباح أسوي judo قبل ما أروح الشغل، عشان أبدأ يومي بطاقة ونشاط.,judo,judo(5)
نزّلت HBO وبعدها soundtrack ، قعدة سهر كاملة ما ندمت عليها أبدًا.,"HBO, soundtrack","HBO(4), soundtrack(3)"
شفت تخفيضات كبيرة على Nike في التطبيق اليوم، فقررت أشتري قبل ما ينتهي العرض.,Nike,Nike(5)
صاحبي علمني deadlifts بطريقة صحيحة تحمي الظهر، وصرت أطبقها في كل حصة.,deadlifts,deadlifts(2)
حجزت حصة yoga جديدة في النادي، وتفاجأت إن مستواي أحسن مما كنت أتوقع.,yoga,yoga(1)
أهدوني شنطة Louis Vuitton في تخرجي وكانت هدية فخمة، ما توقعت حد يهديني شي بهالمستوى.,Louis Vuitton,"Louis(2), Vuitton(2)"
كل ما أروح ذاك الكافيه أطلب hot chocolate لأنه مميز عندهم ومختلف عن أي مكان ثاني.,hot chocolate,"hot(2), chocolate(4)"
أمس طلبت croissant من المطعم اللي جنب البيت وكان لذيذ مرة، حتى إني رجعت أطلبه اليوم كمان.,croissant,croissant(2)
حضرت league مع أخوي وكانت أجواء حماسية، رغم إن المدرجات كانت مزدحمة مرة.,league,league(1)
ما توقعت إن trailer بيعجبني كذا لين جربته، والحين صار من المفضلة عندي.,trailer,trailer(4)
صاحبي مهووس بسيارات Lexus ما يشتري غيرها أبدًا، ويتابع كل إصدار جديد يطلعونه.,Lexus,Lexus(2)
بعد الإحماء بديت lat pulldown على وزن خفيف، عشان أتأكد من الحركة قبل ما أزيد الوزن.,lat pulldown,"lat(5), pulldown(5)"
جربت barbell جديد في الجيم وعجبني، وصار من التمارين الثابتة عندي كل أسبوع.,barbell,barbell(4)
خلصت overtime كثير هالشهر بسبب ضغط الشغل، ووصلت البيت متعب كل مرة.,overtime,overtime(1)
زميلي يشجعني ألعب handball معاه كل خميس، وصارت من أحلى مواعيدي الأسبوعية.,handball,handball(2)
أختي ما تشتري مكياج إلا من MAC ، وتقول الجودة تفرق عن أي ماركة ثانية.,MAC,MAC(2)
خلصت email قبل ما أبدأ deploy المهم، وحسيت إني أنجزت يوم كامل بمعنى الكلمة.,"email, deploy","email(4), deploy(3)"
لازم أوصل A6 قبل التاسعة عشان ألقى موقف فاضي، وإلا بدور نص ساعة أدور مكان.,A6,A6(4)
ما توقعت إن Shahid VIP بيعجبني كذا لين جربته، والحين صار من المفضلة عندي.,Shahid VIP,"Shahid(3), VIP(3)"
جربت americano في رحلتي الأخيرة وحبيته كثير، لدرجة إني دورت عليه لما رجعت البلد.,americano,americano(2)
أختي ما تلبس إلا H&M في كل مناسباتها، وتقول إن القصات تناسبها أكثر من أي ماركة ثانية.,H&M,H&M(3)
احتفلنا بتخرجها في مطعم وسط Boulevard World ، وكانت الأمسية من أحلى الليالي هالسنة.,Boulevard World,"Boulevard(4), World(4)"
أخوي حضر apple pie بنفسه في البيت وقالي طلعت زينة رغم إنها أول مرة يجربها.,apple pie,"apple(2), pie(2)"
خلصت KPI قبل ما أبدأ overtime المهم، وحسيت إني أنجزت يوم كامل بمعنى الكلمة.,"KPI, overtime","KPI(4), overtime(2)"
أمي سوت chai latte على طريقتها الخاصة وصار ألذ من أي مطعم مشهور جربناه من قبل.,chai latte,"chai(4), latte(5)"
أخوي مهووس بألعاب Xbox يسهر عليها لين الفجر، وما يوقف إلا لما يتعب فعلًا.,Xbox,Xbox(1)
أخوي غيّر جواله وأخذ Samsung أحدث إصدار، وقاعد يفتخر فيه قدام كل الشلة.,Samsung,Samsung(2)
اشتريت حذاء Crocs جديد وكان مريح مرة، لدرجة إني نسيت إني لابسه طول اليوم.,Crocs,Crocs(3)
نزلت آخذ قهوتي من Chok قبل لا أدخل الاجتماع، عشان أصحى شوي وأركز أكثر.,Chok,Chok(3)
كل صباح أسوي boxing قبل ما أروح الشغل، عشان أبدأ يومي بطاقة ونشاط.,boxing,boxing(2)
أختي سوت لنا steak في البيت الأسبوع اللي فات وطلعت ألذ من أي مطعم جربناه قبل.,steak,steak(3)
جلست أراجع HBO قبل ما أطلع رأيي فيه، عشان أكون منصف في التقييم.,HBO,HBO(5)
أخوي حضر hummus wrap بنفسه في البيت وقالي طلعت زينة رغم إنها أول مرة يجربها.,hummus wrap,"hummus(2), wrap(2)"
أختي انضمت لنادي boxing قريب من بيتنا، وصارت تروح ثلاث مرات بالأسبوع.,boxing,boxing(3)
تعبت من leg press بس حسيت بفرق واضح بعدها، ولاحظت تحسن في قوتي العامة.,leg press,"leg(2), press(5)"
قارنا بين محلات First Avenue و The Zone قبل ما نقرر وين نشتري، وأخيرًا اخترنا الأقرب لنا.,"First Avenue, The Zone","First(3), Avenue(3), The(5), Zone(5)"
أمس طلبت nuggets من المطعم اللي جنب البيت وكان لذيذ مرة، حتى إني رجعت أطلبه اليوم كمان.,nuggets,nuggets(1)
خسرنا مباراة table tennis بس استمتعنا باللعب كثير، وقررنا نرجع نلعب بنفس الفريق.,table tennis,"table(3), tennis(5)"
الشباب راحوا Boulevard World يتفرجون على الفعاليات الجديدة اللي أعلنوا عنها من أسبوع.,Boulevard World,"Boulevard(5), World(5)"
بعد الدوام رحت Dunkin آخذ شي حلو قبل لا أرجع البيت، عشان أكافئ نفسي على يوم طويل.,Dunkin,Dunkin(5)
قابلت صاحباتي في Jax District وقعدنا نتسوق لين الليل، وكانت جلسة حلوة بعد فترة ما شفناهم.,Jax District,"Jax(4), District(4)"
شفت تخفيضات كبيرة على Victoria's Secret في التطبيق اليوم، وخلاص قررت أطلب قبل ما تخلص المقاسات.,Victoria's Secret,"Victoria's(4), Secret(4)"
شفت تخفيضات كبيرة على Under Armour في التطبيق اليوم، فقررت أشتري قبل ما ينتهي العرض.,Under Armour,"Under(1), Armour(1)"
بعد الدوام رحت Bicicleta آخذ شي حلو قبل لا أرجع البيت، عشان أكافئ نفسي على يوم طويل.,Bicicleta,Bicicleta(1)
شفت YouTube الجديد وصدمت من نهايته، وقعدت أفكر فيه لين ثاني يوم.,YouTube,YouTube(2)
صاحبي علمني burpees بطريقة صحيحة تحمي الظهر، وصرت أطبقها في كل حصة.,burpees,burpees(4)
لعبت yoga الصبح و marathon بعد الظهر، يوم رياضي كامل خلاني أنام بدري من التعب.,"yoga, marathon","yoga(2), marathon(4)"
شفت مراجعات كثيرة عن Netflix قبل لا أشوفه، وأغلبها كانت إيجابية بشكل لافت.,Netflix,Netflix(3)
طلبت قهوة من City Fresh Kitchen وقعدت أراجع الإيميلات المتأخرة، لين ما خلصت كل شي كان متراكم.,City Fresh Kitchen,"City(3), Fresh(3), Kitchen(3)"
بدأت أتمرن cycling عشان أرفع لياقتي البدنية، ولاحظت فرق واضح بعد شهر بس.,cycling,cycling(4)
تابعت league من البداية للنهاية وما مليت، رغم إنه طال أكثر من المعتاد.,league,league(2)
زملائي حجزوا طاولة في مطعم داخل KAFD للعشاء، وقعدنا نتكلم عن الشغل لين وقت متأخر.,KAFD,KAFD(5)
شفت تخفيضات كبيرة على Puma في التطبيق اليوم، فقررت أشتري قبل ما ينتهي العرض.,Puma,Puma(2)
بين YouTube و season finale ما قدرت أقرر وش أسوي الليلة، فخليت صاحبي يختار عني.,"YouTube, season finale","YouTube(3), season(5), finale(5)"
شفت مباراة golf أمس وكانت مثيرة لين آخر دقيقة، وصرخت من الحماس أكثر من مرة.,golf,golf(2)
نزلت Shahid VIP على جوالي عشان أتابعه بره البيت، ولقيته أحسن بكثير من اللي توقعته.,Shahid VIP,"Shahid(4), VIP(4)"
زاحمت على dumbbells لأن الجيم كان مزدحم مرة، واضطريت أنتظر ربع ساعة قبل دوري.,dumbbells,dumbbells(3)
صاحبي مهووس بمنتجات Under Armour ما يشتري غيرها أبدًا، حتى لو طلعت له أغلى بكثير.,Under Armour,"Under(2), Armour(2)"
اشتريت حذاء Adidas جديد وكان مريح مرة، لدرجة إني نسيت إني لابسه طول اليوم.,Adidas,Adidas(4)
شاركت في تحدي boxing مع أصحابي هالشهر، وكنا نتنافس على مين يلتزم أكثر.,boxing,boxing(4)
لازم أوصل A8 قبل التاسعة عشان ألقى موقف فاضي، وإلا بدور نص ساعة أدور مكان.,A8,A8(4)
سويت lunges و deadlifts في نفس الجلسة، تعبت مرة بس حسيت بإنجاز حقيقي.,"lunges, deadlifts","lunges(4), deadlifts(3)"
جربت نكهة جديدة من protein shake وعجبتني، وصرت أطلبها بعد كل تمرين من الحين.,protein shake,"protein(2), shake(2)"
أول مرة أزور Colours وكان أكبر مما توقعت بكثير، لدرجة إني تهت وأنا أدور المخرج.,Colours,Colours(4)
شاركت في بطولة handball وطلعت من الأدوار الأولى، بس استفدت خبرة تفيدني قدام.,handball,handball(3)
المدرب علمنا حركات جديدة في yoga اليوم، وحسيت إني تحسنت كثير عن الحصة اللي فاتت.,yoga,yoga(3)
احنا سوينا استراحة قصيرة وطلعنا نتغدى في Starbucks ، وقعدنا نضحك على مواقف الأسبوع.,Starbucks,Starbucks(3)
احنا كوّنا فريق basketball في الشغل عشان نتحدى فريق ثاني، وصار جو المنافسة يحمسنا كل أسبوع.,basketball,basketball(3)
احنا رحنا Colours عشان نتفرج على السينما الجديدة هناك، وطلعت التجربة أحسن من المتوقع.,Colours,Colours(5)
نزّلت sequel وبعدها series ، قعدة سهر كاملة ما ندمت عليها أبدًا.,"sequel, series","sequel(2), series(4)"
الفريق كله يتجمع في 66 Cups وقت البريك الصبحي، وصارت هذي عادتنا كل يوم تقريبًا.,66 Cups,"66(5), Cups(5)"
الفطور كان فيه bubble tea والعشاء burrito ، يوم أكل كامل ما نسيته بسهولة.,"bubble tea, burrito","bubble(5), tea(5), burrito(2)"
طلب مني المدير أحضر presentation بخصوص المشروع الجديد، رغم إني كنت مشغول ذاك اليوم.,presentation,presentation(4)
طلبنا milkshake و caesar salad وقسمناهم بيننا وشبعنا مرة، وقررنا نرجع نفس المكان قريبًا.,"milkshake, caesar salad","milkshake(3), caesar(2), salad(3)"
شفت تخفيضات كبيرة على H&M في التطبيق اليوم، وخلاص قررت أطلب قبل ما تخلص المقاسات.,H&M,H&M(4)
أبوي وداني First Avenue عشان أشتري ملابس العيد، وقعدنا فيه أكثر مما خططنا.,First Avenue,"First(4), Avenue(4)"
شفت تخفيضات كبيرة على New Balance في التطبيق اليوم، فقررت أشتري قبل ما ينتهي العرض.,New Balance,"New(4), Balance(4)"
نزلت آخذ قهوتي من Bicicleta قبل لا أدخل الاجتماع، عشان أصحى شوي وأركز أكثر.,Bicicleta,Bicicleta(2)
أخوي محترف في hiking ويتمرن عليه كل يوم تقريبًا، وحصل على ميداليات كثيرة بسببه.,hiking,hiking(4)
